Checking permset n=14 p=44
  0. (0, 1) 31701196800-39626496000.39626496000-47551795200.23775897600-31701196800.7925299200-15850598400.15850598400-23775897600.71327692800-79252992000.47551795200-55477094400.0-7925299200.63402393600-71327692800.79252992000-87178291200.55477094400-63402393600. #          2 \ 87178291200 = 43589145600
  1. (2, 3) 15850598400-23775897600.23775897600-31701196800.0-7925299200.55477094400-63402393600.47551795200-55477094400.79252992000-87178291200.63402393600-71327692800.71327692800-79252992000.31701196800-39626496000.39626496000-47551795200.7925299200-15850598400. #          4 \ 87178291200 = 21794572800
  2. (4, 5) 63402393600-71327692800.23775897600-31701196800.7925299200-15850598400.0-7925299200.15850598400-23775897600.39626496000-47551795200.79252992000-87178291200.55477094400-63402393600.31701196800-39626496000.47551795200-55477094400.71327692800-79252992000. #          8 \ 87178291200 = 10897286400
  3. (6, 7) 63402393600-71327692800.23775897600-31701196800.31701196800-39626496000.39626496000-47551795200.71327692800-79252992000.55477094400-63402393600.0-7925299200.79252992000-87178291200.15850598400-23775897600.47551795200-55477094400.7925299200-15850598400. #         16 \ 87178291200 = 5448643200
  4. (8, 9) 71327692800-79252992000.23775897600-31701196800.7925299200-15850598400.39626496000-47551795200.63402393600-71327692800.15850598400-23775897600.79252992000-87178291200.47551795200-55477094400.55477094400-63402393600.0-7925299200.31701196800-39626496000. #         32 \ 87178291200 = 2724321600
  5. (10, 11) 55477094400-63402393600.23775897600-31701196800.15850598400-23775897600.39626496000-47551795200.7925299200-15850598400.79252992000-87178291200.0-7925299200.63402393600-71327692800.71327692800-79252992000.47551795200-55477094400.31701196800-39626496000. #         64 \ 87178291200 = 1362160800
  6. (12, 13) 31701196800-39626496000.79252992000-87178291200.23775897600-31701196800.15850598400-23775897600.7925299200-15850598400.63402393600-71327692800.55477094400-63402393600.71327692800-79252992000.47551795200-55477094400.0-7925299200.39626496000-47551795200. #        128 \ 87178291200 = 681080400
  7. (0, 2) 31701196800-39626496000.79252992000-87178291200.23775897600-31701196800.39626496000-47551795200.15850598400-23775897600.7925299200-15850598400.55477094400-63402393600.63402393600-71327692800.71327692800-79252992000.47551795200-55477094400.0-7925299200. #        256 \ 87178291200 = 340540200
  8. (1, 3) 55477094400-63402393600.71327692800-79252992000.31701196800-39626496000.23775897600-31701196800.39626496000-47551795200.79252992000-87178291200.7925299200-15850598400.63402393600-71327692800.47551795200-55477094400.0-7925299200.15850598400-23775897600. #        512 \ 87178291200 = 170270100
  9. (4, 6) 55477094400-63402393600.31701196800-39626496000.79252992000-87178291200.23775897600-31701196800.39626496000-47551795200.15850598400-23775897600.63402393600-71327692800.71327692800-79252992000.47551795200-55477094400.0-7925299200.7925299200-15850598400. #       1024 \ 87178291200 = 85135050
 10. (5, 7) 23775897600-31701196800.79252992000-87178291200.7925299200-15850598400.39626496000-47551795200.31701196800-39626496000.55477094400-63402393600.71327692800-79252992000.63402393600-71327692800.47551795200-55477094400.15850598400-23775897600.0-7925299200. #       2048 \ 87178291200 = 42567525
 11. (8, 10) 71327692800-79252992000.23775897600-31701196800.7925299200-15850598400.39626496000-47551795200.31701196800-39626496000.63402393600-71327692800.79252992000-87178291200.55477094400-63402393600.47551795200-55477094400.15850598400-23775897600.0-7925299200. #       4096 \ 87178291200 = 21283762
 12. (9, 11) 55477094400-63402393600.31701196800-39626496000.23775897600-31701196800.39626496000-47551795200.15850598400-23775897600.0-7925299200.47551795200-55477094400.63402393600-71327692800.7925299200-15850598400.71327692800-79252992000.79252992000-87178291200. #       8192 \ 87178291200 = 10641881
 13. (0, 4) 63402393600-71327692800.7925299200-15850598400.31701196800-39626496000.39626496000-47551795200.23775897600-31701196800.15850598400-23775897600.79252992000-87178291200.71327692800-79252992000.55477094400-63402393600.0-7925299200.47551795200-55477094400. #      16384 \ 87178291200 = 5320940
 14. (1, 5) 71327692800-79252992000.23775897600-31701196800.31701196800-39626496000.39626496000-47551795200.55477094400-63402393600.79252992000-87178291200.15850598400-23775897600.63402393600-71327692800.0-7925299200.47551795200-55477094400.7925299200-15850598400. #      32768 \ 87178291200 = 2660470
 15. (2, 6) 55477094400-63402393600.23775897600-31701196800.15850598400-23775897600.39626496000-47551795200.79252992000-87178291200.31701196800-39626496000.7925299200-15850598400.47551795200-55477094400.71327692800-79252992000.0-7925299200.63402393600-71327692800. #      65536 \ 87178291200 = 1330235
 16. (3, 7) 63402393600-71327692800.23775897600-31701196800.31701196800-39626496000.39626496000-47551795200.79252992000-87178291200.55477094400-63402393600.15850598400-23775897600.47551795200-55477094400.7925299200-15850598400.71327692800-79252992000.0-7925299200. #     131072 \ 87178291200 = 665117
 17. (8, 12) 47551795200-55477094400.23775897600-31701196800.7925299200-15850598400.31701196800-39626496000.63402393600-71327692800.71327692800-79252992000.0-7925299200.79252992000-87178291200.15850598400-23775897600.55477094400-63402393600.39626496000-47551795200. #     262144 \ 87178291200 = 332558
 18. (9, 13) 79252992000-87178291200.23775897600-31701196800.71327692800-79252992000.55477094400-63402393600.31701196800-39626496000.47551795200-55477094400.63402393600-71327692800.15850598400-23775897600.39626496000-47551795200.7925299200-15850598400.0-7925299200. #     524288 \ 87178291200 = 166279
 19. (0, 8) 55477094400-63402393600.63402393600-71327692800.71327692800-79252992000.47551795200-55477094400.79252992000-87178291200.15850598400-23775897600.23775897600-31701196800.39626496000-47551795200.31701196800-39626496000.7925299200-15850598400.0-7925299200. #    1048576 \ 87178291200 = 83139
 20. (1, 9) 15850598400-23775897600.23775897600-31701196800.55477094400-63402393600.39626496000-47551795200.47551795200-55477094400.7925299200-15850598400.31701196800-39626496000.63402393600-71327692800.79252992000-87178291200.0-7925299200.71327692800-79252992000. #    2097152 \ 87178291200 = 41569
 21. (2, 10) 23775897600-31701196800.39626496000-47551795200.7925299200-15850598400.15850598400-23775897600.31701196800-39626496000.0-7925299200.47551795200-55477094400.55477094400-63402393600.63402393600-71327692800.71327692800-79252992000.79252992000-87178291200. #    4194304 \ 87178291200 = 20784
 22. (3, 11) 15850598400-23775897600.23775897600-31701196800.7925299200-15850598400.31701196800-39626496000.39626496000-47551795200.0-7925299200.63402393600-71327692800.47551795200-55477094400.55477094400-63402393600.71327692800-79252992000.79252992000-87178291200. #    8388608 \ 87178291200 = 10392
 23. (4, 12) 15850598400-23775897600.7925299200-15850598400.63402393600-71327692800.31701196800-39626496000.39626496000-47551795200.23775897600-31701196800.47551795200-55477094400.0-7925299200.55477094400-63402393600.71327692800-79252992000.79252992000-87178291200. #   16777216 \ 87178291200 = 5196
 24. (5, 13) 7925299200-15850598400.15850598400-23775897600.0-7925299200.31701196800-39626496000.63402393600-71327692800.39626496000-47551795200.47551795200-55477094400.55477094400-63402393600.23775897600-31701196800.71327692800-79252992000.79252992000-87178291200. #   33554432 \ 87178291200 = 2598
 25. (0, 4) 15850598400-23775897600.7925299200-15850598400.31701196800-39626496000.0-7925299200.39626496000-47551795200.47551795200-55477094400.63402393600-71327692800.55477094400-63402393600.23775897600-31701196800.71327692800-79252992000.79252992000-87178291200. #   50331648 \ 87178291200 = 1732
 26. (1, 5) 15850598400-23775897600.7925299200-15850598400.0-7925299200.31701196800-39626496000.63402393600-71327692800.39626496000-47551795200.23775897600-31701196800.47551795200-55477094400.55477094400-63402393600.71327692800-79252992000.79252992000-87178291200. #   75497472 \ 87178291200 = 1154
 27. (2, 6) 15850598400-23775897600.7925299200-15850598400.0-7925299200.31701196800-39626496000.63402393600-71327692800.47551795200-55477094400.39626496000-47551795200.23775897600-31701196800.55477094400-63402393600.71327692800-79252992000.79252992000-87178291200. #   113246208 \ 87178291200 = 769
 28. (3, 7) 7925299200-15850598400.15850598400-23775897600.0-7925299200.31701196800-39626496000.63402393600-71327692800.39626496000-47551795200.47551795200-55477094400.23775897600-31701196800.55477094400-63402393600.71327692800-79252992000.79252992000-87178291200. #   169869312 \ 87178291200 = 513
 29. (8, 12) 7925299200-15850598400.15850598400-23775897600.0-7925299200.31701196800-39626496000.39626496000-47551795200.63402393600-71327692800.47551795200-55477094400.23775897600-31701196800.55477094400-63402393600.71327692800-79252992000.79252992000-87178291200. # ! 169869312 \ 87178291200 = 513
 30. (9, 13) 7925299200-15850598400.15850598400-23775897600.0-7925299200.31701196800-39626496000.63402393600-71327692800.39626496000-47551795200.47551795200-55477094400.23775897600-31701196800.55477094400-63402393600.71327692800-79252992000.79252992000-87178291200. # ! 169869312 \ 87178291200 = 513
 31. (0, 2) 7925299200-15850598400.15850598400-23775897600.0-7925299200.31701196800-39626496000.63402393600-71327692800.39626496000-47551795200.47551795200-55477094400.23775897600-31701196800.55477094400-63402393600.71327692800-79252992000.79252992000-87178291200. #   297271296 \ 87178291200 = 293
 32. (1, 3) 7925299200-15850598400.0-7925299200.15850598400-23775897600.31701196800-39626496000.63402393600-71327692800.71327692800-79252992000.39626496000-47551795200.47551795200-55477094400.23775897600-31701196800.55477094400-63402393600.79252992000-87178291200. #   520224768 \ 87178291200 = 167
 33. (4, 6) 7925299200-15850598400.15850598400-23775897600.0-7925299200.23775897600-31701196800.31701196800-39626496000.47551795200-55477094400.55477094400-63402393600.63402393600-71327692800.71327692800-79252992000.79252992000-87178291200.39626496000-47551795200. #   867041280 \ 87178291200 = 100
 34. (5, 7) 7925299200-15850598400.15850598400-23775897600.0-7925299200.23775897600-31701196800.31701196800-39626496000.63402393600-71327692800.47551795200-55477094400.71327692800-79252992000.55477094400-63402393600.79252992000-87178291200.39626496000-47551795200. #   1445068800 \ 87178291200 = 60
 35. (8, 10) 7925299200-15850598400.15850598400-23775897600.0-7925299200.23775897600-31701196800.31701196800-39626496000.71327692800-79252992000.47551795200-55477094400.63402393600-71327692800.55477094400-63402393600.79252992000-87178291200.39626496000-47551795200. #   2167603200 \ 87178291200 = 40
 36. (9, 11) 7925299200-15850598400.15850598400-23775897600.0-7925299200.31701196800-39626496000.23775897600-31701196800.63402393600-71327692800.71327692800-79252992000.47551795200-55477094400.55477094400-63402393600.79252992000-87178291200.39626496000-47551795200. #   3251404800 \ 87178291200 = 26
 37. (0, 1) 7925299200-15850598400.15850598400-23775897600.31701196800-39626496000.0-7925299200.23775897600-31701196800.63402393600-71327692800.47551795200-55477094400.71327692800-79252992000.55477094400-63402393600.79252992000-87178291200.39626496000-47551795200. #   6038323200 \ 87178291200 = 14
